theatre,theatre-url
Her Majesty's Theatre,https://lwtheatres.co.uk/
Teatro Regio,https://www.teatroregio.torino.it/en
National Theatre Munich,https://en.wikipedia.org/wiki/National_Theatre_Munich
La Scala,https://www.teatroallascala.org/en/index.html
Boulevard du Temple,https://en.wikipedia.org/wiki/Boulevard_du_Temple
Teatro Costanzi,https://operavision.eu/en/contributors/teatro-dellopera-di-roma
Palais des Sports,https://www.ledomedeparis.com/en/dome-de-paris
Broadway Theatre,https://www.broadway.com/
Prince Edward Theatre,https://www.princeedwardtheatre.co.uk/
"New London Theatre (renamed as Gillian Lynne Theatre)",https://www.facebook.com/GillianLynneTheatre/
